Time,close,Buy/Sell,VSMA,average_success_percentage,average_loss_percentage,Profit,symbol,Market_Cap_cr,Tag
2024-10-18,509.5,Buy,71402.95,16.51541769267879,-3.0775697515707856,830.4259453582764,TEMBO.NS,423.4308864,New
2024-10-18,28.969999313354492,Buy,79652.57142857143,10.196912098506864,-3.0300389724406447,1327.7414409236908,ARCHIES.NS,103.3330176,New
2024-10-18,185.2100067138672,Buy,8373096.1,10.95577309220489,-2.6740408120125365,5225.543804075241,PRSMJOHNSN.NS,9177.2051456,New
2024-10-18,618.0499877929688,Buy,1143167.5333333334,19.26174122348378,-3.870508191408036,26937.55493408799,PGEL.NS,14807.949312,New
2024-10-18,127.0,Buy,237987.08333333334,10.851470291707914,-3.0964155864162834,3496.3707234408857,FOCUS.NS,843.0670336,New
2024-10-18,61.369998931884766,Buy,140317.83333333334,16.517900697880076,-3.987876607125437,1714.9090073177813,MANAKCOAT.NS,514.3128064,New
2024-10-18,20.18000030517578,Buy,30363.6,15.657556165807115,-3.685120655930769,71376.69739606095,CALSOFT.NS,35.7005024,New
2024-10-18,35.0,Buy,60197.380952380954,14.971677266249351,-3.563201788030934,1970.7513621516227,PRAENG.NS,286.17728,New
2024-10-18,168.0,Buy,2010893.380952381,33.47622179940145,-2.6756708192990084,287.52414389801027,VLEGOV.NS,1379.3854464,New
2024-10-18,39.189998626708984,Buy,1714437.6666666667,15.008729647338605,-2.508169850337916,293.0948937387467,HARDWYN.NS,1120.2628608,New
2024-10-18,487.5,Buy,3095774.45,18.24603566143424,-2.9906504689185907,1225813.2885906734,PCBL.NS,19258.1632,New
2024-10-18,254.8000030517578,Buy,237326.14285714287,14.13116933730211,-2.999182737681848,328.6810570831299,TARC.NS,7220.1822208,New
2024-10-18,6.96999979019165,Buy,134417.95238095237,20.003294113826712,-3.229758762923895,38581.89053807354,BURNPUR.NS,63.6459328,New
2024-10-18,42.88999938964844,Buy,77456.09523809524,10.975143162492252,-3.06094055299908,128.9401815018654,SHIVAMAUTO.NS,621.8545664,New
2024-10-18,19.600000381469727,Buy,61101.63636363636,19.189215183416643,-3.0504711147039334,1593.9157765473128,CCHHL.NS,372.046336,New
2024-10-18,740.7999877929688,Buy,969133.25,6.751576932513733,-1.703580199797149,264.9172927856445,ICICIPRULI.NS,111093.3635072,New
2024-10-18,722.9500122070312,Buy,76070.0625,14.072032074630828,-1.7642529444830255,163.40012243652345,ANURAS.NS,8491.8935552,New
2024-10-18,212.89999389648438,Buy,1771768.875,11.59067391287096,-2.223723080365519,529403.4254130651,KARURVYSYA.NS,17628.7793152,New
2024-10-18,63.43000030517578,Buy,138831.83333333334,15.43794337019471,-3.389557673497724,14546.931294614791,MEGASOFT.NS,377.8499584,New
2024-10-18,131.36000061035156,Buy,255040.42857142858,10.886779462570066,-2.89977621623826,551.7293354282378,BLISSGVS.NS,1342.0704768,New
2024-10-18,259.8999938964844,Buy,102414.28571428571,10.142314624378267,-2.209364246282981,127.81238555145264,SHALBY.NS,2929.8888704,New
2024-10-18,868.7999877929688,Buy,40603.583333333336,11.188054677023477,-2.4205407863735084,2132.1844121017457,SELAN.NS,1519.6959744,New
2024-10-18,58.34000015258789,Buy,2588224.75,15.772547362890323,-2.488134761752248,3470.967186559677,CENTRALBK.NS,52120.3613696,New
2024-10-18,5.800000190734863,Buy,3337035.1428571427,21.437141573737318,-3.7373790961110185,1807.5899596805573,NDL.NS,656.4454912,New
2024-10-18,517.0,Buy,1406183.125,13.140687352150527,-2.661945426543539,45806.61897367811,VIPIND.NS,6970.8742656,New
2024-10-18,32.04999923706055,Buy,173040.7142857143,13.873678036150215,-3.954575949494136,383.3195389568805,GINNIFILA.NS,263.0314496,New
2024-10-18,659.489990234375,Buy,71405.47619047618,5.867933306482573,-1.7867965360348066,788.5749149398804,PSUBANK.NS,-1.0,New
2024-10-18,13.479999542236328,Buy,7159048.5,17.271715564936077,-2.9056855725833737,5815.697537629605,KRITIKA.NS,505.9319808,New
2024-10-18,398.8999938964844,Buy,67601.23529411765,10.356087619480563,-2.8067962823118124,219.86752327060705,PANAMAPET.NS,2486.893568,New
2024-10-18,419.75,Buy,35413.8125,11.530394526408427,-3.1673706327977564,225.63909960460663,ONWARDTEC.NS,966.7468288,New
2024-10-18,22.170000076293945,Buy,267504.0,18.48725546868419,-3.738166280649061,10640.642930169584,INDOWIND.NS,314.5435648,New
2024-10-18,531.8499755859375,Buy,312755.1111111111,8.785717189302652,-2.75271917877271,165.39840588378908,CIEINDIA.NS,22061.539328,New
2024-10-18,1162.0999755859375,Buy,102522.47619047618,7.330408827579187,-2.078499286325102,134.01379917907715,AHLUCONT.NS,7820.4674048,New
2024-10-18,29.06999969482422,Buy,41423199.84615385,15.373526367002894,-2.7596265392651604,2446942.9232708886,VAKRANGEE.NS,2191.2487936,New
2024-10-18,33.20000076293945,Buy,579000.1333333333,13.730888273672724,-3.1317089995318783,7770.40675983262,RUSHIL.NS,1003.8173696,New
2024-10-18,39.4900016784668,Buy,38251.666666666664,18.085218463727468,-2.873401782275252,761031.6652982387,JETAIRWAYS.NS,466.8836352,New
2024-10-18,818.4000244140625,Buy,53939.9,13.60158725305764,-2.7555109531536432,45913.51085596276,KSL.NS,3270.272,New
2024-10-18,1348.5999755859375,Buy,77304.36842105263,27.76281387443236,-2.870557636565377,1046309.3929056404,ORCHPHARMA.NS,7022.5666048,New
2024-10-18,108.25,Buy,1496788.6842105263,11.405931157785645,-2.760881099322392,1261.3473363513947,ACLGATI.NS,1523.2818176,New
2024-10-18,1142.949951171875,Buy,44856.28571428572,9.742768225785497,-3.027694012223096,678.2242450942994,SWELECTES.NS,1778.2788096,New
2024-10-18,37.47999954223633,Buy,415542.4285714286,12.958169140022363,-3.533719242586057,860.251102760315,NECLIFE.NS,898.3896064,New
2024-10-18,25.56999969482422,Buy,114673.85714285714,19.138824664410677,-3.0898008925032454,4570.755813021183,BALKRISHNA.NS,88.9295168,New
2024-10-18,7.5,Buy,49026.357142857145,17.378064664402597,-3.036525312336903,132.15689030528068,LYPSAGEMS.NS,28.9488352,New
